record_id,state,district,block_taluka,station_location,longitude,latitude,year,month,season,ph,ec_us_cm,tds_mg_l,cl_mg_l,no3_mg_l,so4_mg_l,f_mg_l,total_hardness_mg_l,fe_mg_l,as_ppb,u_ppb,rainfall_mm,rainfall_source,rainfall_year,health_value,health_indicator,health_source,health_year,water_source,water_year,data_availability_status,data_type,rainfall_anomaly,rainfall_change,anomaly_score,abnormal_pattern_flag,risk_score,health_risk_component,water_risk_component,env_risk_component,hist_risk_component,vuln_risk_component,abnormal_risk_component,risk_class
DEMO_REC_0018,Tamil Nadu,Coimbatore,Coimbatore Central,Coimbatore Station-4,76.9637,10.9696,2024,November,Post-Monsoon,7.96,963.5,626.3,157.2,8.9,125.2,0.68,290.6,0.01,0.9,2.31,64.3,Synthetic Environmental Simulation,2024,74,Reported Diarrheal/Gastrointestinal Cases,Synthetic Community Health Registry,2024,Synthetic Ground Water Monitoring,2024,COMPLETE,SYNTHETIC_DEMO,-0.52,-56.16,-0.078,0,24.9,0.33,0.02,0.37,0.25,0.35,0.32,LOW
DEMO_REC_0019,Tamil Nadu,Madurai,Madurai Central,Madurai Station-5,78.1321,9.8968,2022,May,Pre-Monsoon,7.0,2036.2,1323.5,78.7,64.3,126.5,1.49,246.7,0.02,0.06,9.86,11.6,Synthetic Environmental Simulation,2022,37,Reported Diarrheal/Gastrointestinal Cases,Synthetic Community Health Registry,2022,Synthetic Ground Water Monitoring,2022,COMPLETE,SYNTHETIC_DEMO,-0.85,-92.09,0.066,1,25.9,0.16,0.18,0.29,0.25,0.35,0.86,LOW
DEMO_REC_0020,Tamil Nadu,Tiruchirappalli,Tiruchirappalli Central,Tiruchirappalli Station-1,78.7235,10.7833,2023,May,Pre-Monsoon,6.58,1079.9,701.9,208.9,23.0,92.4,1.4,424.3,0.01,2.09,0.52,38.2,Synthetic Environmental Simulation,2023,106,Reported Diarrheal/Gastrointestinal Cases,Synthetic Community Health Registry,2023,Synthetic Ground Water Monitoring,2023,COMPLETE,SYNTHETIC_DEMO,-0.68,-73.95,-0.127,0,27.0,0.47,0.03,0.33,0.25,0.35,0.14,LOW
DEMO_REC_0021,Andhra Pradesh,Visakhapatnam,Visakhapatnam Central,Visakhapatnam Station-2,83.1726,17.6414,2024,May,Pre-Monsoon,6.87,1355.3,880.9,179.0,34.6,87.4,1.01,261.1,0.15,2.39,3.02,20.0,Synthetic Environmental Simulation,2024,48,Reported Diarrheal/Gastrointestinal Cases,Synthetic Community Health Registry,2024,Synthetic Ground Water Monitoring,2024,COMPLETE,SYNTHETIC_DEMO,-0.8,-86.36,-0.128,0,26.6,0.21,0.05,0.3,0.65,0.35,0.14,LOW
DEMO_REC_0022,Andhra Pradesh,Vijayawada,Vijayawada Central,Vijayawada Station-3,80.5995,16.4823,2022,July,Monsoon,7.2,1464.6,952.0,200.7,67.4,132.0,1.5,349.5,0.34,2.13,0.41,363.3,Synthetic Environmental Simulation,2022,26,Reported Diarrheal/Gastrointestinal Cases,Synthetic Community Health Registry,2022,Synthetic Ground Water Monitoring,2022,COMPLETE,SYNTHETIC_DEMO,1.36,147.71,-0.037,0,32.9,0.12,0.14,0.84,0.25,0.35,0.47,MODERATE
DEMO_REC_0023,Andhra Pradesh,Guntur,Guntur Central,Guntur Station-4,80.4826,16.2953,2023,July,Monsoon,7.39,1029.7,669.3,150.5,23.4,149.7,0.48,351.4,0.63,3.32,4.88,450.7,Synthetic Environmental Simulation,2023,50,Reported Diarrheal/Gastrointestinal Cases,Synthetic Community Health Registry,2023,Synthetic Ground Water Monitoring,2023,COMPLETE,SYNTHETIC_DEMO,1.91,207.3,-0.089,0,40.3,0.22,0.02,0.98,0.65,0.35,0.28,MODERATE
DEMO_REC_0024,Andhra Pradesh,Anantapur,Anantapur Central,Anantapur Station-5,77.6257,14.6496,2024,July,Monsoon,6.48,772.8,502.3,238.1,11.3,112.4,1.43,362.4,0.42,0.27,6.99,437.5,Synthetic Environmental Simulation,2024,100,Reported Diarrheal/Gastrointestinal Cases,Synthetic Community Health Registry,2024,Synthetic Ground Water Monitoring,2024,COMPLETE,SYNTHETIC_DEMO,1.83,198.3,0.003,1,40.7,0.44,0.0,0.96,0.25,0.35,0.62,MODERATE
DEMO_REC_0025,Assam,Kamrup Metropolitan,Kamrup Metropolitan Central,Kamrup Metropolitan Station-1,91.6962,26.1243,2022,November,Post-Monsoon,7.21,1056.0,686.4,170.0,39.4,190.9,1.04,364.3,0.07,7.31,4.56,87.9,Synthetic Environmental Simulation,2022,53,Reported Diarrheal/Gastrointestinal Cases,Synthetic Community Health Registry,2022,Synthetic Ground Water Monitoring,2022,COMPLETE,SYNTHETIC_DEMO,-0.37,-40.07,-0.123,0,28.7,0.24,0.02,0.41,0.65,0.35,0.15,LOW
DEMO_REC_0026,Assam,Cachar,Cachar Central,Cachar Station-2,92.7783,24.7924,2023,November,Post-Monsoon,7.23,963.0,626.0,172.6,39.2,141.5,0.45,381.8,0.03,3.02,0.23,56.2,Synthetic Environmental Simulation,2023,19,Reported Diarrheal/Gastrointestinal Cases,Synthetic Community Health Registry,2023,Synthetic Ground Water Monitoring,2023,COMPLETE,SYNTHETIC_DEMO,-0.57,-61.68,-0.131,0,17.5,0.08,0.02,0.36,0.25,0.35,0.12,LOW
DEMO_REC_0027,Arunachal Pradesh,Papum Pare,Papum Pare Central,Papum Pare Station-3,93.5933,27.1013,2024,November,Post-Monsoon,7.55,1571.2,1021.3,194.5,23.9,113.4,1.19,379.5,0.2,1.19,3.66,25.9,Synthetic Environmental Simulation,2024,88,Reported Diarrheal/Gastrointestinal Cases,Synthetic Community Health Registry,2024,Synthetic Ground Water Monitoring,2024,COMPLETE,SYNTHETIC_DEMO,-0.76,-82.34,-0.121,0,25.8,0.39,0.07,0.31,0.25,0.35,0.16,LOW
DEMO_REC_0028,Kerala,Wayanad,Wayanad Central,Wayanad Station-4,76.0931,11.726,2022,May,Pre-Monsoon,7.08,1198.4,779.0,177.6,11.2,131.3,1.42,218.0,0.26,8.19,1.41,58.8,Synthetic Environmental Simulation,2022,52,Reported Diarrheal/Gastrointestinal Cases,Synthetic Community Health Registry,2022,Synthetic Ground Water Monitoring,2022,COMPLETE,SYNTHETIC_DEMO,-0.55,-59.91,-0.159,0,21.3,0.23,0.04,0.36,0.25,0.35,0.02,LOW
DEMO_REC_0029,Karnataka,Raichur,Raichur Central,Raichur Station-5,77.3765,16.2012,2023,May,Pre-Monsoon,7.04,1216.0,790.4,171.6,26.7,130.0,1.34,227.4,1.64,2.98,1.45,25.7,Synthetic Environmental Simulation,2023,101,Reported Diarrheal/Gastrointestinal Cases,Synthetic Community Health Registry,2023,Synthetic Ground Water Monitoring,2023,COMPLETE,SYNTHETIC_DEMO,-0.76,-82.48,-0.156,0,26.9,0.45,0.08,0.31,0.25,0.35,0.03,LOW
DEMO_REC_0030,Maharashtra,Latur,Latur Central,Latur Station-1,76.5385,18.3633,2024,May,Pre-Monsoon,8.08,917.1,596.1,150.0,9.6,156.1,0.42,144.2,1.1,10.71,3.59,6.7,Synthetic Environmental Simulation,2024,98,Reported Diarrheal/Gastrointestinal Cases,Synthetic Community Health Registry,2024,Synthetic Ground Water Monitoring,2024,COMPLETE,SYNTHETIC_DEMO,-0.88,-95.43,-0.034,0,26.6,0.44,0.02,0.28,0.25,0.35,0.48,LOW
DEMO_REC_0031,Tamil Nadu,Salem,Salem Central,Salem Station-2,78.1231,11.6746,2022,July,Monsoon,7.34,1157.0,752.1,187.1,66.8,156.3,0.55,385.0,0.2,10.55,1.42,459.7,Synthetic Environmental Simulation,2022,150,Reported Diarrheal/Gastrointestinal Cases,Synthetic Community Health Registry,2022,Synthetic Ground Water Monitoring,2022,COMPLETE,SYNTHETIC_DEMO,1.96,213.43,-0.026,0,55.1,0.67,0.11,0.99,0.65,0.35,0.51,HIGH
DEMO_REC_0032,Tamil Nadu,Chennai,Chennai Central,Chennai Station-3,80.3177,13.0708,2023,July,Monsoon,7.31,1297.6,843.4,134.9,1.0,120.2,1.45,283.5,0.87,4.74,0.85,223.9,Synthetic Environmental Simulation,2023,65,Reported Diarrheal/Gastrointestinal Cases,Synthetic Community Health Registry,2023,Synthetic Ground Water Monitoring,2023,COMPLETE,SYNTHETIC_DEMO,0.48,52.66,-0.084,0,35.5,0.29,0.05,0.62,0.65,0.35,0.3,MODERATE
DEMO_REC_0033,Tamil Nadu,Coimbatore,Coimbatore Central,Coimbatore Station-4,76.9265,10.9943,2024,July,Monsoon,7.14,1317.6,856.4,6.1,28.7,110.6,1.55,350.3,1.03,0.23,4.71,268.8,Synthetic Environmental Simulation,2024,31,Reported Diarrheal/Gastrointestinal Cases,Synthetic Community Health Registry,2024,Synthetic Ground Water Monitoring,2024,COMPLETE,SYNTHETIC_DEMO,0.77,83.27,-0.127,0,26.6,0.14,0.05,0.69,0.25,0.35,0.14,LOW
DEMO_REC_0034,Tamil Nadu,Madurai,Madurai Central,Madurai Station-5,78.0727,9.8886,2022,November,Post-Monsoon,7.46,1679.0,1091.4,214.3,8.5,59.4,0.96,388.3,0.7,1.07,2.16,35.3,Synthetic Environmental Simulation,2022,65,Reported Diarrheal/Gastrointestinal Cases,Synthetic Community Health Registry,2022,Synthetic Ground Water Monitoring,2022,COMPLETE,SYNTHETIC_DEMO,-0.7,-75.93,-0.086,0,24.4,0.29,0.08,0.33,0.25,0.35,0.29,LOW
DEMO_REC_0035,Tamil Nadu,Tiruchirappalli,Tiruchirappalli Central,Tiruchirappalli Station-1,78.7343,10.8103,2023,November,Post-Monsoon,7.73,1624.3,1055.8,103.8,17.9,162.2,0.61,143.6,0.23,1.54,2.64,63.3,Synthetic Environmental Simulation,2023,89,Reported Diarrheal/Gastrointestinal Cases,Synthetic Community Health Registry,2023,Synthetic Ground Water Monitoring,2023,COMPLETE,SYNTHETIC_DEMO,-0.52,-56.84,-0.087,0,27.8,0.4,0.07,0.37,0.25,0.35,0.29,LOW
DEMO_REC_0036,Andhra Pradesh,Visakhapatnam,Visakhapatnam Central,Visakhapatnam Station-2,83.2326,17.6507,2024,November,Post-Monsoon,6.99,829.3,539.0,227.8,19.0,104.4,0.36,244.3,0.06,0.82,0.58,16.3,Synthetic Environmental Simulation,2024,48,Reported Diarrheal/Gastrointestinal Cases,Synthetic Community Health Registry,2024,Synthetic Ground Water Monitoring,2024,COMPLETE,SYNTHETIC_DEMO,-0.82,-88.89,-0.126,0,25.3,0.21,0.01,0.3,0.65,0.35,0.14,LOW
DEMO_REC_0037,Andhra Pradesh,Vijayawada,Vijayawada Central,Vijayawada Station-3,80.631,16.4691,2022,May,Pre-Monsoon,7.12,981.2,637.8,186.1,16.1,189.1,0.54,293.4,0.23,6.44,0.81,45.7,Synthetic Environmental Simulation,2022,42,Reported Diarrheal/Gastrointestinal Cases,Synthetic Community Health Registry,2022,Synthetic Ground Water Monitoring,2022,COMPLETE,SYNTHETIC_DEMO,-0.63,-68.84,-0.15,0,19.5,0.19,0.02,0.34,0.25,0.35,0.05,LOW
DEMO_REC_0038,Andhra Pradesh,Guntur,Guntur Central,Guntur Station-4,80.4328,16.2936,2023,May,Pre-Monsoon,7.54,854.2,555.2,228.4,20.4,115.5,1.1,208.3,0.08,0.78,1.42,32.1,Synthetic Environmental Simulation,2023,58,Reported Diarrheal/Gastrointestinal Cases,Synthetic Community Health Registry,2023,Synthetic Ground Water Monitoring,2023,COMPLETE,SYNTHETIC_DEMO,-0.72,-78.11,-0.112,0,27.3,0.26,0.01,0.32,0.65,0.35,0.19,LOW
DEMO_REC_0039,Andhra Pradesh,Anantapur,Anantapur Central,Anantapur Station-5,77.5849,14.6552,2024,May,Pre-Monsoon,6.77,438.2,284.8,308.7,14.5,98.2,1.41,436.3,0.25,1.19,1.23,72.8,Synthetic Environmental Simulation,2024,66,Reported Diarrheal/Gastrointestinal Cases,Synthetic Community Health Registry,2024,Synthetic Ground Water Monitoring,2024,COMPLETE,SYNTHETIC_DEMO,-0.46,-50.36,-0.019,0,25.0,0.29,0.0,0.38,0.25,0.35,0.54,LOW
DEMO_REC_0040,Assam,Kamrup Metropolitan,Kamrup Metropolitan Central,Kamrup Metropolitan Station-1,91.7433,26.1591,2022,July,Monsoon,6.64,1397.0,908.1,155.6,46.5,91.0,1.65,239.1,0.03,1.86,1.58,535.1,Synthetic Environmental Simulation,2022,128,Reported Diarrheal/Gastrointestinal Cases,Synthetic Community Health Registry,2022,Synthetic Ground Water Monitoring,2022,COMPLETE,SYNTHETIC_DEMO,2.44,264.84,-0.006,0,52.3,0.57,0.07,1.0,0.65,0.35,0.59,HIGH
DEMO_REC_0041,Assam,Cachar,Cachar Central,Cachar Station-2,92.8264,24.7838,2023,July,Monsoon,7.17,1828.3,1188.4,194.3,18.9,182.4,1.01,247.7,1.03,3.1,0.67,364.5,Synthetic Environmental Simulation,2023,34,Reported Diarrheal/Gastrointestinal Cases,Synthetic Community Health Registry,2023,Synthetic Ground Water Monitoring,2023,COMPLETE,SYNTHETIC_DEMO,1.37,148.52,-0.008,0,33.1,0.15,0.09,0.84,0.25,0.35,0.58,MODERATE
DEMO_REC_0042,Arunachal Pradesh,Papum Pare,Papum Pare Central,Papum Pare Station-3,93.5815,27.0742,2024,July,Monsoon,6.59,1479.2,961.5,193.4,7.0,97.2,0.8,283.6,0.04,0.16,13.8,410.6,Synthetic Environmental Simulation,2024,79,Reported Diarrheal/Gastrointestinal Cases,Synthetic Community Health Registry,2024,Synthetic Ground Water Monitoring,2024,COMPLETE,SYNTHETIC_DEMO,1.66,179.96,-0.044,0,38.1,0.35,0.06,0.91,0.25,0.35,0.45,MODERATE
DEMO_REC_0043,Kerala,Wayanad,Wayanad Central,Wayanad Station-4,76.0823,11.6493,2022,November,Post-Monsoon,6.97,1174.9,763.7,169.3,8.0,125.6,1.58,238.0,0.81,11.76,0.69,75.1,Synthetic Environmental Simulation,2022,113,Reported Diarrheal/Gastrointestinal Cases,Synthetic Community Health Registry,2022,Synthetic Ground Water Monitoring,2022,COMPLETE,SYNTHETIC_DEMO,-0.45,-48.8,-0.144,0,29.0,0.5,0.04,0.39,0.25,0.35,0.08,LOW
DEMO_REC_0044,Karnataka,Raichur,Raichur Central,Raichur Station-5,77.3704,16.1642,2023,November,Post-Monsoon,7.67,1289.0,837.9,159.4,25.7,108.9,1.52,256.1,0.33,1.85,1.33,39.6,Synthetic Environmental Simulation,2023,54,Reported Diarrheal/Gastrointestinal Cases,Synthetic Community Health Registry,2023,Synthetic Ground Water Monitoring,2023,COMPLETE,SYNTHETIC_DEMO,-0.67,-73.0,-0.134,0,21.6,0.24,0.05,0.33,0.25,0.35,0.11,LOW
DEMO_REC_0045,Maharashtra,Latur,Latur Central,Latur Station-1,76.5818,18.404,2024,November,Post-Monsoon,7.58,1287.6,836.9,279.9,35.3,64.7,0.83,331.5,0.02,0.65,2.35,-1.8,Synthetic Environmental Simulation,2024,84,Reported Diarrheal/Gastrointestinal Cases,Synthetic Community Health Registry,2024,Synthetic Ground Water Monitoring,2024,COMPLETE,SYNTHETIC_DEMO,-0.93,-101.23,-0.101,0,24.2,0.37,0.04,0.27,0.25,0.35,0.24,LOW
DEMO_REC_0046,Tamil Nadu,Salem,Salem Central,Salem Station-2,78.1588,11.7083,2022,May,Pre-Monsoon,6.85,1059.9,688.9,242.4,29.0,126.4,0.53,298.6,0.11,0.71,4.09,46.4,Synthetic Environmental Simulation,2022,24,Reported Diarrheal/Gastrointestinal Cases,Synthetic Community Health Registry,2022,Synthetic Ground Water Monitoring,2022,COMPLETE,SYNTHETIC_DEMO,-0.63,-68.36,-0.14,0,23.8,0.11,0.03,0.34,0.65,0.35,0.09,LOW
DEMO_REC_0047,Tamil Nadu,Chennai,Chennai Central,Chennai Station-3,80.2962,13.0821,2023,May,Pre-Monsoon,7.01,1230.5,799.8,292.9,8.6,87.3,1.05,203.6,0.16,3.69,0.04,104.5,Synthetic Environmental Simulation,2023,50,Reported Diarrheal/Gastrointestinal Cases,Synthetic Community Health Registry,2023,Synthetic Ground Water Monitoring,2023,COMPLETE,SYNTHETIC_DEMO,-0.26,-28.75,-0.135,0,29.0,0.22,0.04,0.43,0.65,0.35,0.11,LOW
DEMO_REC_0048,Tamil Nadu,Coimbatore,Coimbatore Central,Coimbatore Station-4,76.931,11.0211,2024,May,Pre-Monsoon,6.78,1020.5,663.3,221.8,22.8,142.9,0.53,275.8,0.26,1.76,2.84,47.2,Synthetic Environmental Simulation,2024,82,Reported Diarrheal/Gastrointestinal Cases,Synthetic Community Health Registry,2024,Synthetic Ground Water Monitoring,2024,COMPLETE,SYNTHETIC_DEMO,-0.62,-67.82,-0.14,0,24.2,0.36,0.02,0.34,0.25,0.35,0.09,LOW
DEMO_REC_0049,Tamil Nadu,Madurai,Madurai Central,Madurai Station-5,78.0721,9.9542,2022,July,Monsoon,7.49,1621.7,1054.1,148.6,32.3,102.7,0.58,244.5,0.11,0.64,2.81,405.7,Synthetic Environmental Simulation,2022,61,Reported Diarrheal/Gastrointestinal Cases,Synthetic Community Health Registry,2022,Synthetic Ground Water Monitoring,2022,COMPLETE,SYNTHETIC_DEMO,1.63,176.61,-0.053,0,36.1,0.27,0.07,0.91,0.25,0.35,0.41,MODERATE
DEMO_REC_0050,Tamil Nadu,Tiruchirappalli,Tiruchirappalli Central,Tiruchirappalli Station-1,78.6882,10.746,2023,July,Monsoon,6.8,620.8,403.5,183.7,35.7,164.5,0.98,218.6,0.08,1.51,0.46,319.4,Synthetic Environmental Simulation,2023,84,Reported Diarrheal/Gastrointestinal Cases,Synthetic Community Health Registry,2023,Synthetic Ground Water Monitoring,2023,COMPLETE,SYNTHETIC_DEMO,1.08,117.77,-0.016,0,34.8,0.37,0.0,0.77,0.25,0.35,0.55,MODERATE
DEMO_REC_0051,Andhra Pradesh,Visakhapatnam,Visakhapatnam Central,Visakhapatnam Station-2,83.1996,17.6402,2024,July,Monsoon,6.67,948.6,616.6,183.9,37.6,68.0,1.76,450.7,0.59,1.91,0.61,173.4,Synthetic Environmental Simulation,2024,85,Reported Diarrheal/Gastrointestinal Cases,Synthetic Community Health Registry,2024,Synthetic Ground Water Monitoring,2024,COMPLETE,SYNTHETIC_DEMO,0.17,18.23,-0.076,0,36.2,0.38,0.04,0.54,0.65,0.35,0.33,MODERATE
